City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather Description,"Rain (inches, last 3 hrs)","Snow (inches, last 3 hrs)"
0,Cape Town,ZA,2020-01-17 23:44:22,-33.93,18.42,68.0,72,20,27.51,few clouds,0.0,0.0
1,Hovd,MN,2020-01-17 23:46:24,48.01,91.64,2.91,58,97,9.78,overcast clouds,0.0,0.0
2,Hobart,AU,2020-01-17 23:43:47,-42.88,147.33,66.0,44,75,5.82,broken clouds,0.0,0.0
3,Marsa Matruh,EG,2020-01-17 23:46:26,31.35,27.25,51.8,87,40,6.93,scattered clouds,0.0,0.0
4,Vaini,TO,2020-01-17 23:43:55,-21.2,-175.2,82.4,88,90,11.41,overcast clouds,0.0,0.0
5,Esperance,AU,2020-01-17 23:46:27,-33.87,121.9,62.6,88,90,14.99,overcast clouds,0.0,0.0
6,New Norfolk,AU,2020-01-17 23:44:59,-42.78,147.06,66.0,44,75,5.82,broken clouds,0.0,0.0
7,Harbour Breton,CA,2020-01-17 23:46:29,47.48,-55.8,14.59,78,100,45.14,light snow,0.0,0.13
8,Punta Arenas,CL,2020-01-17 23:43:46,-53.15,-70.92,53.6,58,75,38.03,broken clouds,0.0,0.0
9,Mahebourg,MU,2020-01-17 23:43:54,-20.41,57.7,80.6,83,40,11.41,scattered clouds,0.0,0.0
10,Mataura,NZ,2020-01-17 23:43:53,-46.19,168.86,71.08,45,99,2.21,overcast clouds,0.0,0.0
11,Atbasar,KZ,2020-01-17 23:46:31,51.8,68.33,27.77,97,100,8.7,light snow,0.0,0.56
12,Guerrero Negro,MX,2020-01-17 23:44:06,27.98,-114.06,60.6,63,82,12.95,broken clouds,0.0,0.0
13,Kodiak,US,2020-01-17 23:42:43,57.79,-152.41,33.8,64,90,16.11,overcast clouds,0.0,0.0
14,Ushuaia,AR,2020-01-17 23:43:47,-54.8,-68.3,46.4,87,75,23.04,light intensity shower rain,0.0,0.0
15,Honiara,SB,2020-01-17 23:46:33,-9.43,159.95,89.6,66,75,2.24,broken clouds,0.0,0.0
16,Tuatapere,NZ,2020-01-17 23:45:33,-46.13,167.68,74.17,33,85,3.67,overcast clouds,0.0,0.0
17,Karratha,AU,2020-01-17 23:43:26,-20.74,116.85,84.78,73,94,17.83,overcast clouds,0.0,0.0
18,Kyaikkami,MM,2020-01-17 23:46:34,16.08,97.57,77.09,57,0,8.79,clear sky,0.0,0.0
19,Caravelas,BR,2020-01-17 23:46:35,-17.71,-39.25,79.86,83,0,13.4,clear sky,0.0,0.0
20,Busselton,AU,2020-01-17 23:40:38,-33.65,115.33,71.01,36,0,14.99,clear sky,0.0,0.0
21,Werda,BW,2020-01-17 23:46:36,-25.27,23.28,74.07,44,83,12.73,broken clouds,0.0,0.0
22,Thompson,CA,2020-01-17 23:44:29,55.74,-97.86,-5.8,70,90,8.05,overcast clouds,0.0,0.0
23,Hoquiam,US,2020-01-17 23:46:37,46.98,-123.89,41.0,93,75,10.29,broken clouds,0.0,0.0
24,Provideniya,RU,2020-01-17 23:45:22,64.38,-173.3,4.87,94,99,7.16,overcast clouds,0.0,0.0
25,Puerto Ayora,EC,2020-01-17 23:44:20,-0.74,-90.35,84.2,66,40,13.87,scattered clouds,0.0,0.0
26,Sur,OM,2020-01-17 23:46:41,22.57,59.53,62.73,57,5,8.59,clear sky,0.0,0.0
27,Cidreira,BR,2020-01-17 23:46:42,-30.18,-50.21,72.64,51,13,10.94,few clouds,0.0,0.0
28,Muravlenko,RU,2020-01-17 23:46:42,63.79,74.52,0.1,93,55,19.62,broken clouds,0.0,0.0
29,Tiksi,RU,2020-01-17 23:45:08,71.69,128.87,-15.86,87,19,12.15,few clouds,0.0,0.0
30,Tabou,CI,2020-01-17 23:46:46,4.42,-7.35,77.9,90,17,3.24,few clouds,0.0,0.0
31,Qaanaaq,GL,2020-01-17 23:44:52,77.48,-69.36,-15.5,61,0,7.49,clear sky,0.0,0.0
32,Ilulissat,GL,2020-01-17 23:44:13,69.22,-51.1,3.2,49,95,14.99,overcast clouds,0.0,0.0
33,Ust-Omchug,RU,2020-01-17 23:46:47,61.15,149.63,-17.27,96,100,4.27,overcast clouds,0.0,0.0
34,Qaqortoq,GL,2020-01-17 23:46:48,60.72,-46.03,23.0,62,100,2.24,light snow,0.0,0.56
