City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Payson,US,2020-01-14 04:34:55,40.04,-111.73,39.0,47,90,9.17
1,Vaini,TO,2020-01-14 04:31:11,-21.2,-175.2,86.0,74,20,6.93
2,San Cristobal,VE,2020-01-14 04:39:50,7.77,-72.22,77.0,69,40,4.7
3,Caldas,CO,2020-01-14 04:39:50,6.09,-75.64,59.0,93,40,3.36
4,Parabel,RU,2020-01-14 04:39:51,58.7,81.48,11.44,91,100,12.01
5,Bethel,US,2020-01-14 04:39:52,41.37,-73.41,43.0,93,90,3.36
6,Ushuaia,AR,2020-01-14 04:28:45,-54.8,-68.3,48.2,100,90,8.05
7,Caravelas,BR,2020-01-14 04:39:53,-17.71,-39.25,78.87,83,51,10.69
8,Chapais,CA,2020-01-14 04:39:54,49.78,-74.85,-13.0,75,1,3.36
9,Namatanai,PG,2020-01-14 04:39:55,-3.67,152.43,84.06,74,88,15.37
10,Hilo,US,2020-01-14 04:37:16,19.73,-155.09,75.99,87,78,7.0
11,Hermanus,ZA,2020-01-14 04:33:03,-34.42,19.23,71.01,88,93,17.13
12,Mataura,NZ,2020-01-14 04:32:45,-46.19,168.86,66.83,63,82,5.37
13,Carnarvon,AU,2020-01-14 04:39:57,-24.87,113.63,79.84,77,91,17.58
14,Los Llanos De Aridane,ES,2020-01-14 04:39:57,28.66,-17.92,64.4,27,0,9.17
15,Pangnirtung,CA,2020-01-14 04:39:59,66.15,-65.71,-24.34,97,100,4.27
16,Hobart,AU,2020-01-14 04:40:00,-42.88,147.33,80.01,44,20,11.41
17,Rikitea,PF,2020-01-14 04:31:08,-23.12,-134.97,78.17,82,2,10.83
18,Jijiga,ET,2020-01-14 04:40:01,9.35,42.8,60.53,72,84,17.54
19,Victor Harbor,AU,2020-01-14 04:40:02,-35.57,138.62,91.99,61,0,14.99
20,Abu Dhabi,AE,2020-01-14 04:37:54,24.47,54.37,60.8,77,40,5.82
21,Georgetown,MY,2020-01-14 04:28:40,5.41,100.34,89.6,52,20,10.29
22,Port Alfred,ZA,2020-01-14 04:31:14,-33.59,26.89,71.01,95,79,4.0
23,Summerland,CA,2020-01-14 04:40:06,49.6,-119.67,6.8,55,90,16.11
24,Dezful,IR,2020-01-14 04:36:28,32.38,48.41,49.82,54,66,5.41
25,Dikson,RU,2020-01-14 04:37:02,73.51,80.55,3.94,93,100,16.11
26,Sturgeon Falls,CA,2020-01-14 04:40:08,46.36,-79.93,10.0,81,32,1.01
27,Mount Gambier,AU,2020-01-14 04:40:09,-37.83,140.77,82.4,48,8,13.87
28,Port Elizabeth,ZA,2020-01-14 04:30:06,-33.92,25.57,71.6,94,90,14.99
29,Atuona,PF,2020-01-14 04:33:08,-9.8,-139.03,81.82,78,0,19.3
30,Mnogovershinnyy,RU,2020-01-14 04:40:10,53.94,139.92,-6.66,84,0,5.21
31,Maraa,BR,2020-01-14 04:40:11,-1.83,-65.37,74.75,78,71,1.77
32,Punta Arenas,CL,2020-01-14 04:33:07,-53.15,-70.92,48.2,93,90,8.05
33,Coihaique,CL,2020-01-14 04:40:12,-45.58,-72.07,59.0,72,90,8.05
34,Jardim,BR,2020-01-14 04:40:13,-21.48,-56.14,72.99,95,100,3.42
35,Puro,PH,2020-01-14 04:40:13,12.48,123.38,80.67,77,37,6.02
36,Klyuchi,RU,2020-01-14 04:40:14,52.27,79.17,10.96,88,83,16.22
37,Svetlyy,RU,2020-01-14 04:40:15,54.67,20.13,37.4,93,75,6.71
38,Terra Santa,BR,2020-01-14 04:40:15,-2.1,-56.49,72.21,97,100,0.96
39,Seda,LV,2020-01-14 04:40:16,57.65,25.75,36.0,96,99,3.0
40,Mahebourg,MU,2020-01-14 04:37:24,-20.41,57.7,82.99,83,40,10.29
41,Tuatapere,NZ,2020-01-14 04:33:00,-46.13,167.68,56.41,60,62,5.35
